`id_grp`,`id_dep`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`plan`,`cell`,`podano_budget`,`podano_vnebudget`,`nabor`,`podano`
1229,12,30.05.02,"Медицинская биофизика",5,"Бюджет/Общие места",0,14,0,33,0,14,33
1230,8,45.03.01,Филология,3,"Бюджет/Общие места",0,21,0,167,0,21,167
1231,4,11.03.03,"Конструирование и технология электронных средств",3,"Бюджет/Общие места",0,4,0,62,0,4,62
1232,4,11.03.04,"Электроника и наноэлектроника",3,"Бюджет/Общие места",0,7,0,54,0,7,54
1233,4,27.03.05,Инноватика,3,"Бюджет/Общие места",0,0,0,17,0,0,17
1234,17,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,20,0,81,0,20,81
1235,12,30.05.03,"Медицинская кибернетика",5,"Бюджет/Общие места",0,16,0,72,0,16,72
1236,17,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,11,0,50,0,11,50
1237,17,49.03.01,"Физическая культура",3,"Бюджет/Общие места",0,10,0,64,0,10,64
1238,12,30.05.01,"Медицинская биохимия",5,"Бюджет/Общие места",0,16,0,158,0,16,158
1239,7,09.03.03,"Прикладная информатика",3,"Бюджет/Общие места",0,7,0,42,0,7,42
1240,7,09.03.03,"Прикладная информатика",3,"Бюджет/Общие места",2,7,0,14,0,7,14
1241,7,39.03.01,Социология,3,"Бюджет/Общие места",0,7,0,139,0,7,139
1242,7,39.03.01,Социология,3,"Бюджет/Общие места",2,7,0,60,0,7,60
1244,7,39.03.02,"Социальная работа",3,"Бюджет/Общие места",0,7,0,48,0,7,48
1245,7,39.03.02,"Социальная работа",3,"Бюджет/Общие места",2,7,0,15,0,7,15
1246,7,39.03.03,"Организация работы с молодежью",3,"Бюджет/Общие места",0,6,0,66,0,6,66
1247,7,39.03.03,"Организация работы с молодежью",3,"Бюджет/Общие места",2,6,0,35,0,6,35
1248,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,6,0,16,0,6,16
1249,19,20.03.01,"Техносферная безопасность",3,"Бюджет/Общие места",0,5,0,65,0,5,65
1250,19,18.03.01,"Химическая технология",3,"Бюджет/Общие места",0,13,0,89,0,13,89
1251,19,04.03.01,Химия,3,"Бюджет/Общие места",0,35,0,180,0,35,180
1252,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,10,0,118,0,10,118
1253,10,43.03.01,Сервис,3,"Полное возмещение затрат",0,0,0,0,18,0,18
1254,10,43.03.01,Сервис,3,"Бюджет/Общие места",2,7,0,27,0,7,27
1255,10,46.03.01,История,3,"Бюджет/Общие места",0,26,0,234,0,26,234
1256,10,46.03.01,История,3,"Бюджет/Общие места",2,13,0,50,0,13,50
1257,10,43.03.02,Туризм,3,"Бюджет/Общие места",0,7,0,128,0,7,128
1258,10,43.03.02,Туризм,3,"Бюджет/Общие места",2,7,0,36,0,7,36
1259,10,41.03.05,"Международные отношения",3,"Бюджет/Общие места",0,11,0,214,0,11,214
1260,18,44.03.03,"Специальное (дефектологическое) образование",3,"Бюджет/Общие места",0,7,0,39,0,7,39
1261,18,44.03.03,"Специальное (дефектологическое) образование",3,"Бюджет/Общие места",0,7,0,47,0,7,47
1262,18,44.03.03,"Специальное (дефектологическое) образование",3,"Бюджет/Общие места",0,6,0,74,0,6,74
1263,18,44.03.03,"Специальное (дефектологическое) образование",3,"Бюджет/Общие места",2,5,0,88,0,5,88
1264,18,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",0,6,0,64,0,6,64
1265,18,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",2,8,0,79,0,8,79
1266,18,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",0,8,0,89,0,8,89
1267,18,44.03.02,"Психолого-педагогическое образование",3,"Бюджет/Общие места",2,10,0,103,0,10,103
1268,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,13,0,127,0,13,127
1269,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,12,0,78,0,12,78
1270,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,8,0,58,0,8,58
1271,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,6,0,24,0,6,24
1272,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,6,0,38,0,6,38
1273,18,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",2,6,0,29,0,6,29
1274,22,37.03.01,Психология,3,"Бюджет/Общие места",0,15,0,178,0,15,178
1275,22,37.03.01,Психология,3,"Бюджет/Общие места",1,16,0,90,0,16,90
1276,13,38.03.03,"Управление персоналом",3,"Бюджет/Общие места",0,6,0,133,0,6,133
1277,13,38.03.02,Менеджмент,3,"Бюджет/Общие места",0,7,0,204,0,7,204
1278,13,38.03.01,Экономика,3,"Бюджет/Общие места",0,8,0,199,0,8,199
1279,21,38.05.02,"Таможенное дело",5,"Бюджет/Общие места",0,11,0,138,0,11,138
1280,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,16,0,133,0,16,133
1281,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,5,0,9,0,5,9
1282,16,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,5,0,51,0,5,51
1283,21,41.03.04,Политология,3,"Бюджет/Общие места",0,4,0,168,0,4,168
1284,21,41.03.04,Политология,3,"Бюджет/Общие места",1,3,0,26,0,3,26
1285,21,40.05.03,"Судебная экспертиза",5,"Бюджет/Общие места",0,4,0,149,0,4,149
1286,21,42.03.01,"Реклама и связи с общественностью",3,"Бюджет/Общие места",0,4,0,227,0,4,227
1287,21,40.05.04,"Судебная и прокурорская деятельность",5,"Бюджет/Общие места",0,0,0,137,0,0,137
1288,21,40.03.01,Юриспруденция,3,"Бюджет/Общие места",0,18,0,457,0,18,457
1289,21,40.03.01,Юриспруденция,3,"Бюджет/Общие места",1,4,0,58,0,4,58
1290,15,44.03.01,"Педагогическое образование",3,"Бюджет/Общие места",0,6,0,30,0,6,30
1291,9,10.05.01,"Компьютерная безопасность",5,"Бюджет/Общие места",0,18,0,163,0,18,163
1292,9,09.03.04,"Программная инженерия",3,"Бюджет/Общие места",0,13,0,184,0,13,184
1293,9,09.03.01,"Информатика и вычислительная техника",3,"Бюджет/Общие места",0,22,0,207,0,22,207
1294,9,02.03.03,"Математическое обеспечение и администрирование информационных систем",3,"Бюджет/Общие места",0,19,0,123,0,19,123
1295,9,02.03.02,"Фундаментальная информатика и информационные технологии",3,"Бюджет/Общие места",0,14,0,133,0,14,133
1296,9,09.03.04,"Программная инженерия",3,"Бюджет/Общие места",2,6,0,21,0,6,21
